Search results:

    jquery git://github.com/jquery/jquery.git
    jquery-ui git://github.com/components/jqueryui
    jquery.cookie git://github.com/carhartl/jquery-cookie.git
    jquery-placeholder git://github.com/mathiasbynens/jquery-placeholder.git
    qunit git://github.com/jquery/qunit.git
    jquery-file-upload git://github.com/blueimp/jQuery-File-Upload.git
    jasmine-jquery git://github.com/velesin/jasmine-jquery
    jquery-mousewheel git://github.com/brandonaaron/jquery-mousewheel.git
    jquery-waypoints git://github.com/imakewebthings/jquery-waypoints.git
    sizzle git://github.com/jquery/sizzle.git
    jquery.ui git://github.com/jquery/jquery-ui.git
    jquery-autosize git://github.com/jackmoore/autosize.git
    jquery.scrollTo git://github.com/flesler/jquery.scrollTo.git
    jquery-migrate git://github.com/appleboy/jquery-migrate.git
    jquery-bridget git://github.com/desandro/jquery-bridget.git
    jquery-cookie git://github.com/carhartl/jquery-cookie.git
    blueimp-file-upload git://github.com/blueimp/jQuery-File-Upload
    jquery.validation git://github.com/jzaefferer/jquery-validation.git
    jquery-mockjax git://github.com/appendto/jquery-mockjax
    jquery.transit git://github.com/rstacruz/jquery.transit.git
    jquery.placeholder git://github.com/matoilic/jquery.placeholder.git
    jquery-hammerjs git://github.com/EightMedia/jquery.hammer.js.git
    jquery-ujs git://github.com/rails/jquery-ujs.git
    jquery.countdown git://github.com/hilios/jQuery.countdown.git
    jquery-form git://github.com/malsup/form.git
    jquery.easing git://github.com/jozefizso/bower-jquery-easing.git
    jqueryui git://github.com/components/jqueryui.git
    chai-jquery git://github.com/chaijs/chai-jquery.git
    jquery.tablesorter git://github.com/Mottie/tablesorter.git
    jquery-timeago git://github.com/rmm5t/jquery-timeago.git
    jquery-pjax git://github.com/defunkt/jquery-pjax.git
    jquery-validation git://github.com/jzaefferer/jquery-validation.git
    geonames-server-jquery-plugin git://github.com/alchemy-fr/GeonamesServer-jQuery-Plugin.git
    jqueryui-touch-punch git://github.com/furf/jquery-ui-touch-punch.git
    jquery-mobile git://github.com/jquery/jquery-mobile.git
    jquery.slimscroll git://github.com/rochal/jQuery-slimScroll/
    jquery.payment git://github.com/stripe/jquery.payment.git
    jquery-color git://github.com/jquery/jquery-color.git
    jquery.tools git://github.com/jquerytools/jquerytools.git
    jquery.browser git://github.com/gabceb/jquery-browser-plugin.git
    jQuery git://github.com/jquery/jquery.git
    jquery-csv git://github.com/mirlord/jquery-csv
    jquery.lazyload git://github.com/tuupola/jquery_lazyload.git
    jquery-galleria git://github.com/aino/galleria.git
